Funder,Funder Country,Funder Type,Recipient Name,Recipient URL,Recipient City,Recipient State,Recipient Country,Currency,Amount (original currency),Amount (USD),Paid/Auth,Transaction Type,Duration (Months),FY,Grant Description,Source URL,Publication,Title,Author,Publication Date,Date added,Crisis
11 Bit Studios,Poland,Corporate giving program,Unknown Recipient(s),,,,,PLN,"3,000,000 z?","$690,000",Authorized,Cash,,2022,"11 Bit Studios, a Polish video game developer, has announced a 3m PLN donation to aid Ukraine.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/11-bit-studios-humanitarian-crisis-ukraine,,,,3/29/2022,3/29/2022,Ukraine
3i Group plc,United Kingdom,Corporate giving program,UNICEF United Kingdom,https://www.unicef.org.uk/,London,,United Kingdom,USD,,"$658,762",Paid,Cash,,2022,Cash donation to UNICEF National Committee United Kingdom,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/28/2022,8/25/2022,Ukraine
3M Foundation,United States,Company-sponsored foundation,GlobalGiving,https://www.globalgiving.org/,Washington,DC,United States,USD,"$376,000","$376,000",Authorized,Employee matching gifts,,2022,"Over 2,508 3Mers have donated more than US $376,000 through GlobalGiving’s Ukraine Crisis Relief Fund Microsite. With the 3M Foundation dollar-for-dollar match, more than US $752,000 will be put toward basic needs for those affected by the invasion of the country – food, shelter and clean water, as well as access to education and mental health resources. ",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/3m-humanitarian-crisis-ukraine,,,,3/24/2022,3/24/2022,Ukraine
3M Foundation,United States,Company-sponsored foundation,Unknown Recipient(s),,,,,USD,"$2,000,000","$2,000,000",Authorized,Pledge,,2022,"3M Foundation made a commitment of at least $2 million to directly support relief efforts, as well as the heartfelt direct donations of housing, money and personal goods 3Mers have sent to colleagues in Ukraine.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/3m-humanitarian-crisis-ukraine,,,,3/24/2022,3/24/2022,Ukraine
A. O. Smith Foundation,United States,Company-sponsored foundation,American Red Cross,https://www.redcross.org/,Washington,DC,United States,USD,"$100,000","$100,000",Authorized,Cash,,2022,"A. O. Smith Corporation, along with the A. O. Smith Foundation, the company’s charitable arm, made a $100,000 donation to the American Red Cross to help support humanitarian relief efforts in Ukraine.",https://www.ejarn.com/detail.php?id=71933&l_id=,Jarn,"A. O. Smith Foundation Donates $100,000 to American Red Cross for Ukraine Relief Efforts",,3/20/2022,3/22/2022,Ukraine
Aarhus University Research Foundation (AUFF),Denmark,Public charity,Aarhus University,https://international.au.dk/,Aarhus,,Denmark,DKK,"10,000,000 kr.","$1,500,000",Authorized,Cash,,2022,"In response to the Russian invasion of Ukraine, Aarhus University Research Foundation (AUFF) donated 10 million kroner to the Aarhus Institute of Advanced Studies (AIAS) to launch a fellowship programme for researchers affected by the war in Ukraine. 10-15 fellowships will be available through the donation from AUFF. ",https://twitter.com/StudyAarhusUni/status/1502207707138310144,Twitter,,,3/11/2022,3/14/2022,Ukraine
Abbott Fund,United States,Company-sponsored foundation,Multiple Recipients,,,,,USD,"$5,000,000","$5,000,000",Authorized,Cash,,2022,"The Abbott Fund is donating $5 million to humanitarian organizations including International Medical Corps, Americares and Project HOPE to deliver emergency and primary health care services, supplies and basic needs for people in Ukraine and in border countries serving Ukrainian refugees. ",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/abbott-humanitarian-crisis-ukraine,,,,5/4/2022,5/4/2022,Ukraine
AbbVie,United States,Corporate giving program,Multiple Recipients,,,,,USD,"$1,000,000","$1,000,000",Authorized,Cash,,2022,AbbVie is donating a total of $1 million to International Medical Corps and Project Hope for medical care and supplies for Ukraine and Ukrainian refugees. It is also donating essential medicines to the Ukrainian government and disaster relief partners.,https://www.efpia.eu/news-events/the-efpia-view/efpia-news/pharmaceutical-industry-response-to-the-war-in-ukraine/,The EFPIA View,Pharmaceutical industry response to the war in Ukraine,,,3/25/2022,Ukraine
Abel Tesfaye,United States,Individual,World Food Program,https://www.wfp.org/,Rome,,Italy,USD,"$500,000","$500,000",Authorized,Cash,,2022,"Abel Tesfaye, also known as The Weeknd, has committed $1 million to the World Food Programme to support the organization’s efforts against hunger around the world. In addition to an initial $500,000 direct donation, the artist will match up to $500,000 from his upcoming tour. The funds will be used to support Ukrainian refugees and people in other humanitarian crises around the world.","https://www.globalcitizen.org/en/content/ukraine-celebrities-fundraising-donating-refugees/#:~:text=Singer%2Dsongwriter%20and%20Global%20Citizen,%24500%2C000%20from%20his%20upcoming%20tour.",,,,3/9/2022,3/10/2022,Ukraine
Abel Tesfaye,United States,Individual,Unknown Recipient(s),,,,,USD,"$500,000","$500,000",Authorized,Pledge; Matching grants,,2022,"Abel Tesfaye, also known as The Weeknd, has committed $1 million to the World Food Programme to support the organization’s efforts against hunger around the world. In addition to an initial $500,000 direct donation, the artist will match up to $500,000 from his upcoming tour. The funds will be used to support Ukrainian refugees and people in other humanitarian crises around the world.","https://www.globalcitizen.org/en/content/ukraine-celebrities-fundraising-donating-refugees/#:~:text=Singer%2Dsongwriter%20and%20Global%20Citizen,%24500%2C000%20from%20his%20upcoming%20tour.",,,,3/9/2022,3/11/2022,Ukraine
ABP Food Group,Ireland,Corporate giving program,Multiple Recipients,,,,,EUR,"€ 2,000,000","$2,180,000",Authorized,Pledge; Matching grants,,2022,"ABP Food Group announced that it has issued an appeal to farmers asking for funding to help support the work of a number of charities in Ukraine. The company said it will match all donations, up to €2 million.",https://www.agriland.ie/farming-news/abp-establishes-fund-for-ukranian-aid-appeal/,Agriland,ABP establishes fund for Ukrainian aid appeal,Breifne O'Brien,4/6/2022,4/6/2022,Ukraine
Accenture,United States,Corporate giving program,Multiple Recipients,,,,,USD,"$5,000,000 ","$5,000,000",Authorized,Cash,,2022,"To help people in Ukraine and those who are being displaced into Poland, Romania, Slovakia, Hungary and the Czech Republic.",https://www.finanznachrichten.de/nachrichten-2022-03/55441091-united-airlines-raising-funds-towards-ukraine-relief-020.htm,Finanz Nachrichten de,United Airlines Raising Funds Towards Ukraine Relief,AFX News,3/8/2022,3/10/2022,Ukraine
"Accenture, Inc. ",United States,Corporate giving program,Unknown Recipient(s),,,,,USD,"$5,000,000","$5,000,000",Authorized,Pledge,,2022,"Accenture announced it will donate $5 million to nonprofit relief organizations working to help people in Ukraine and those who are being displaced into Poland, Romania, Slovakia, Hungary and the Czech Republic. The company will also match 100% of the donations from its employees.",https://ccc.bc.edu/content/ccc/blog-home/2022/03/companies-respond-to-war-in-ukraine.html,Boston College Center for Corporate Citizenship,HOW COMPANIES ARE RESPONDING TO THE WAR IN UKRAINE: A ROUNDUP,Katherine V. Smith,3/1/2022,3/4/2022,Ukraine
Acne Studios,Sweden,Corporate giving program,Multiple Recipients,,,,,EUR,"€ 100,000","$109,000 ",Authorized,Cash,,2022,"In response to the Russian invasion of Ukraine, Acne Studios donated €100,000 to UNICEF and to the U.N. High Commissioner for Refugees, or UNHCR.",https://www.thecut.com/2022/03/how-fashion-and-beauty-brands-are-responding-to-invasion-of-ukriane.html,The Cut,How the Fashion and Beauty World is Responding to the Invasion of Ukraine,Brooke LaMantia,3/28/2022,4/1/2022,Ukraine
ACRI,Italy,Company-sponsored foundation,Unknown Recipient(s),,,,,EUR,"€ 2,000,000","$2,180,000",Authorized,Pledge,,2022,"In line with the values of peace and solidarity, which have always inspired the activities of foundations of banking origin, the Acri Council unanimously resolved to allocate a contribution of 2 million euros for humanitarian support to the Ukrainians who are leaving the country due to the conflict. The resources will support the activities of some NGOs that have already mobilized for assistance to Ukrainian refugees. ",https://philanthropyforukraine.eu/,,,,3/17/2022,3/17/2022,Ukraine
Acronis Cyber Foundation,Switzerland,Company-sponsored foundation,UNICEF,https://www.unicef.org/,New York,NY,United States,USD,"$250,000","$250,000",Authorized ,Cash,,2022,"Acronis Cyber Foundation has partnered with UNICEF to alleviate the suffering of refugees from Ukraine. They have released funds of up to $250,000 for humanitarian assistance to those in need.",https://acronis.org/2022/03/hope-and-humanity-ivan-ensures-a-future-for-refugees/,,,,,5/13/2022,Ukraine
Action,Netherlands,Corporate giving program,UNICEF Netherlands,https://www.unicef.nl/,The Hague,,Netherlands,USD,,"$1,086,957",Paid,Cash,,2022,Cash donation to UNICEF National Committee Netherlands.,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/28/2022,8/25/2022,Ukraine
Adidas AG,Germany,Corporate giving program,Multiple Recipients,,,,,EUR,"€ 1,000,000","$1,090,000",Authorized,Cash,,2022,"Adidas announced a donation of €1 million to refugee and children’s charities including Save the Children, SOS Children’s Villages, Terre des Hommes, and UNO-Flüchtlingshilfe to provide basic goods and support to evacuated families.",https://www.uschamberfoundation.org/aid-event/humanitarian-crisis-ukraine/adidas-humanitarian-crisis-ukraine,,,,3/15/2022,3/15/2022,Ukraine
Advantest Corp.,Japan,Corporate giving program,Unknown Recipient(s),,,,,JPY,"¥90,000,000","$729,000",Authorized,Cash,,2022,"Advantest Corp., a Japanese supplier of test and measurement equipment, has announced a humanitarian donation of 90 million yens (about $0.7 million) for Ukraine relief. The Japanese Red Cross Society, the UNICEF, Medecins Sans Frontieres (Japan, the United States, and Germany), the Salvation Army International (the United States) and Aktion Deutschland Hilf e.V. (Germany) were named among recipients of the funds.","https://interfax.com/newsroom/top-stories/78152/#:~:text=VR%20Capital%20President%20and%20Founder,assets%20managed%20through%20pooled%20funds.",Interfax,,,4/13/2022,6/7/2022,Ukraine
"AEON Co., Ltd.",Japan,Corporate giving program,UNICEF Japan,https://www.unicef.or.jp/,Tokyo,,Japan,USD,,"$855,505",Paid,Cash,,2022,Cash donation to UNICEF National Committee Japan from AEON 1% Club Foundation.,https://data.humdata.org/viz-ukraine-ps-tracker/,OCHA Services,Ukraine Private Sector Donations Tracker,,6/28/2022,8/25/2022,Ukraine
AGCO Agriculture Foundation,United States,Company-sponsored foundation,Land Club,,,,Ukraine,USD,"$50,000","$50,000",Authorized ,Cash,,2022,"The AGCO Agriculture Foundation (AAF), a private foundation whose mission is to prevent and relieve hunger through sustainable agricultural development, announced a $50,000 donation to an initiative called ""BORSCH"" implemented by the Land Club, a non-profit organization in Ukraine. The donation will help ""BORSCH"" contribute to Ukraine's food and nutrition security during this crisis and improve the livelihoods of Ukrainian farming communities affected by the war.",https://www.businesswire.com/news/home/20220427005230/en/AGCO-Agriculture-Foundation-Donates-to-Farmer-Focused-Initiative-BORSCH-in-Ukraine,Business Wire,"AGCO Agriculture Foundation Donates to Farmer-Focused Initiative ""BORSCH"" in Ukraine",,5/5/2022,5/5/2022,Ukraine
